,date,Branch,City,Customer_Type,Gender,Product name,Unit price,Quantity,Tax 5%,Total,Payment,Shipping_Method,Invoice ID,Date,Time,cogs,gross margin percentage,gross income,Rating
547,2019-01-07,A,Yangon,New,Male,Sports and travel,60.95,9,27.4275,575.9775,Credit card,Free,541-48-8554,1/7/2019,12:08,548.55,4.761904762,27.4275,6.0
355,2019-01-07,B,Mandalay,Existing,Female,Food and beverages,89.14,4,17.828,374.388,Credit card,Free,889-04-9723,1/7/2019,12:20,356.56,4.761904762,17.828,7.8
275,2019-01-07,B,Mandalay,New,Male,Fashion accessories,47.97,7,16.7895,352.5795,Cash,Customer Paid,566-19-5475,1/7/2019,20:52,335.79,4.761904762,16.7895,6.2
276,2019-01-07,C,Naypyitaw,Existing,Female,Home and lifestyle,21.82,10,10.91,229.11,Cash,Customer Paid,526-86-8552,1/7/2019,17:36,218.2,4.761904762,10.91,7.1
67,2019-01-07,B,Mandalay,Existing,Female,Fashion accessories,97.61,6,29.283,614.943,Ewallet,Free,109-28-2512,1/7/2019,15:01,585.66,4.761904762,29.283,9.9
272,2019-01-07,A,Yangon,Existing,Female,Home and lifestyle,21.54,9,9.693,203.553,Credit card,Free,126-54-1082,1/7/2019,11:44,193.86,4.761904762,9.693,8.8
248,2019-01-07,A,Yangon,Existing,Male,Electronic accessories,77.72,4,15.544,326.424,Credit card,Free,799-71-1548,1/7/2019,16:11,310.88,4.761904762,15.544,8.8
482,2019-01-08,A,Yangon,New,Male,Sports and travel,37.14,5,9.285,194.985,Ewallet,Free,674-15-9296,1/8/2019,13:05,185.7,4.761904762,9.285,5.0
443,2019-01-08,C,Naypyitaw,New,Male,Fashion accessories,12.78,1,0.639,13.419,Ewallet,Free,192-98-7397,1/8/2019,14:11,12.78,4.761904762,0.639,9.5
746,2019-01-08,B,Mandalay,Existing,Male,Fashion accessories,65.23,10,32.615,684.915,Credit card,Free,457-13-1708,1/8/2019,19:07,652.3,4.761904762,32.615,5.2
686,2019-01-08,B,Mandalay,Existing,Female,Sports and travel,64.83,2,6.483,136.143,Credit card,Free,767-97-4650,1/8/2019,11:59,129.66,4.761904762,6.483,8.0
128,2019-01-08,C,Naypyitaw,Existing,Female,Food and beverages,68.54,8,27.416,575.736,Ewallet,Free,663-86-9076,1/8/2019,15:57,548.32,4.761904762,27.416,8.5
267,2019-01-08,B,Mandalay,Existing,Female,Food and beverages,74.6,10,37.3,783.3,Cash,Customer Paid,571-94-0759,1/8/2019,20:55,746.0,4.761904762,37.3,9.5
127,2019-01-08,C,Naypyitaw,New,Female,Fashion accessories,31.73,9,14.2785,299.8485,Credit card,Free,189-08-9157,1/8/2019,16:17,285.57,4.761904762,14.2785,5.9
416,2019-01-08,C,Naypyitaw,New,Female,Home and lifestyle,45.38,4,9.076,190.596,Credit card,Free,750-57-9686,1/8/2019,13:48,181.52,4.761904762,9.076,8.7
807,2019-01-08,A,Yangon,New,Female,Electronic accessories,50.23,4,10.046,210.966,Cash,Customer Paid,257-60-7754,1/8/2019,17:12,200.92,4.761904762,10.046,9.0
880,2019-01-08,B,Mandalay,Existing,Female,Food and beverages,33.21,10,16.605,348.705,Ewallet,Free,490-95-0021,1/8/2019,14:25,332.1,4.761904762,16.605,6.0
685,2019-01-08,B,Mandalay,Existing,Female,Home and lifestyle,49.1,2,4.91,103.11,Credit card,Free,241-96-5076,1/8/2019,12:58,98.2,4.761904762,4.91,6.4
726,2019-01-08,C,Naypyitaw,Existing,Male,Home and lifestyle,55.57,3,8.3355,175.0455,Credit card,Free,442-44-6497,1/8/2019,11:42,166.71,4.761904762,8.3355,5.9
868,2019-01-08,C,Naypyitaw,Existing,Male,Food and beverages,24.31,3,3.6465,76.5765,Credit card,Free,631-34-1880,1/8/2019,19:09,72.93,4.761904762,3.6465,4.3
864,2019-01-08,A,Yangon,Existing,Female,Electronic accessories,79.59,3,11.9385,250.7085,Cash,Customer Paid,124-31-1458,1/8/2019,14:30,238.77,4.761904762,11.9385,6.6
861,2019-01-08,A,Yangon,Existing,Male,Sports and travel,12.76,2,1.276,26.796,Ewallet,Free,840-76-5966,1/8/2019,18:06,25.52,4.761904762,1.276,7.8
506,2019-01-08,B,Mandalay,Existing,Female,Sports and travel,48.5,3,7.275,152.775,Cash,Customer Paid,387-49-4215,1/8/2019,12:50,145.5,4.761904762,7.275,6.7
848,2019-01-08,C,Naypyitaw,Existing,Female,Food and beverages,72.88,9,32.796,688.716,Cash,Customer Paid,845-94-6841,1/8/2019,19:38,655.92,4.761904762,32.796,4.0
604,2019-01-08,C,Naypyitaw,Existing,Female,Fashion accessories,51.89,7,18.1615,381.3915,Cash,Customer Paid,484-22-8230,1/8/2019,20:08,363.23,4.761904762,18.1615,4.5
76,2019-01-09,C,Naypyitaw,Existing,Male,Fashion accessories,49.04,9,22.068,463.428,Credit card,Free,263-10-3913,1/9/2019,14:20,441.36,4.761904762,22.068,8.6
357,2019-01-09,C,Naypyitaw,New,Female,Sports and travel,95.44,10,47.72,1002.12,Cash,Customer Paid,554-42-2417,1/9/2019,13:45,954.4,4.761904762,47.72,5.2
832,2019-01-09,B,Mandalay,Existing,Female,Sports and travel,11.85,8,4.74,99.54,Cash,Customer Paid,343-75-9322,1/9/2019,16:34,94.8,4.761904762,4.74,4.1
682,2019-01-09,C,Naypyitaw,New,Female,Fashion accessories,49.32,6,14.796,310.716,Ewallet,Free,370-96-0655,1/9/2019,13:46,295.92,4.761904762,14.796,7.1
836,2019-01-09,A,Yangon,Existing,Male,Fashion accessories,38.54,5,9.635,202.335,Ewallet,Free,288-62-1085,1/9/2019,13:34,192.7,4.761904762,9.635,5.6
984,2019-01-09,C,Naypyitaw,New,Male,Electronic accessories,96.37,7,33.7295,708.3195,Cash,Customer Paid,189-40-5216,1/9/2019,11:40,674.59,4.761904762,33.7295,6.0
958,2019-01-09,C,Naypyitaw,New,Female,Home and lifestyle,15.8,10,7.9,165.9,Cash,Customer Paid,867-47-1948,1/9/2019,12:07,158.0,4.761904762,7.9,7.8
951,2019-01-09,B,Mandalay,Existing,Female,Home and lifestyle,21.9,3,3.285,68.985,Ewallet,Free,305-89-2768,1/9/2019,18:43,65.7,4.761904762,3.285,4.7
925,2019-01-10,B,Mandalay,New,Female,Electronic accessories,13.78,4,2.756,57.876,Ewallet,Free,226-34-0034,1/10/2019,11:10,55.12,4.761904762,2.756,9.0
32,2019-01-10,B,Mandalay,New,Male,Sports and travel,83.78,8,33.512,703.752,Cash,Customer Paid,640-49-2076,1/10/2019,14:49,670.24,4.761904762,33.512,5.1
8,2019-01-10,A,Yangon,Existing,Female,Health and beauty,36.26,2,3.626,76.146,Credit card,Free,665-32-9167,1/10/2019,17:15,72.52,4.761904762,3.626,7.2
317,2019-01-10,C,Naypyitaw,Existing,Male,Electronic accessories,74.79,5,18.6975,392.6475,Cash,Customer Paid,603-07-0961,1/10/2019,11:34,373.95,4.761904762,18.6975,4.9
956,2019-01-10,C,Naypyitaw,Existing,Male,Food and beverages,50.49,9,22.7205,477.1305,Cash,Customer Paid,577-34-7579,1/10/2019,17:16,454.41,4.761904762,22.7205,5.4
923,2019-01-10,C,Naypyitaw,New,Female,Sports and travel,83.14,7,29.099,611.079,Credit card,Free,887-42-0517,1/10/2019,10:31,581.98,4.761904762,29.099,6.6
297,2019-01-10,A,Yangon,Existing,Male,Home and lifestyle,78.38,6,23.514,493.794,Ewallet,Free,744-02-5987,1/10/2019,14:16,470.28,4.761904762,23.514,5.8
568,2019-01-10,B,Mandalay,New,Female,Fashion accessories,79.86,7,27.951,586.971,Credit card,Free,241-11-2261,1/10/2019,10:33,559.02,4.761904762,27.951,5.5
92,2019-01-10,A,Yangon,Existing,Female,Sports and travel,21.98,7,7.693,161.553,Ewallet,Free,873-51-0671,1/10/2019,16:42,153.86,4.761904762,7.693,5.1
240,2019-01-11,A,Yangon,New,Male,Food and beverages,24.94,9,11.223,235.683,Credit card,Free,540-11-4336,1/11/2019,16:49,224.46,4.761904762,11.223,5.6
239,2019-01-11,A,Yangon,New,Male,Fashion accessories,89.69,1,4.4845,94.1745,Ewallet,Free,478-06-7835,1/11/2019,11:20,89.69,4.761904762,4.4845,4.9
723,2019-01-11,C,Naypyitaw,Existing,Female,Food and beverages,36.77,7,12.8695,270.2595,Cash,Customer Paid,592-46-1692,1/11/2019,20:10,257.39,4.761904762,12.8695,7.4
406,2019-01-11,A,Yangon,New,Male,Food and beverages,13.79,5,3.4475,72.3975,Credit card,Free,732-67-5346,1/11/2019,19:07,68.95,4.761904762,3.4475,7.8
757,2019-01-11,A,Yangon,New,Female,Home and lifestyle,96.52,6,28.956,608.076,Cash,Customer Paid,406-46-7107,1/11/2019,11:52,579.12,4.761904762,28.956,4.5
679,2019-01-11,A,Yangon,Existing,Male,Food and beverages,48.5,6,14.55,305.55,Ewallet,Free,130-67-4723,1/11/2019,13:57,291.0,4.761904762,14.55,9.4
380,2019-01-11,A,Yangon,Existing,Male,Sports and travel,82.33,4,16.466,345.786,Credit card,Free,289-15-7034,1/11/2019,10:37,329.32,4.761904762,16.466,7.5
225,2019-01-11,C,Naypyitaw,Existing,Female,Sports and travel,87.16,2,8.716,183.036,Credit card,Free,746-68-6593,1/11/2019,14:29,174.32,4.761904762,8.716,9.7
546,2019-01-12,A,Yangon,New,Female,Fashion accessories,29.42,10,14.71,308.91,Ewallet,Free,647-50-1224,1/12/2019,16:23,294.2,4.761904762,14.71,8.9
121,2019-01-12,C,Naypyitaw,Existing,Male,Sports and travel,57.12,7,19.992,419.832,Credit card,Free,659-36-1684,1/12/2019,12:02,399.84,4.761904762,19.992,6.5
418,2019-01-12,B,Mandalay,New,Female,Health and beauty,57.22,2,5.722,120.162,Ewallet,Free,848-07-1692,1/12/2019,17:13,114.44,4.761904762,5.722,8.3
863,2019-01-12,B,Mandalay,New,Female,Home and lifestyle,51.07,7,17.8745,375.3645,Cash,Customer Paid,533-66-5566,1/12/2019,11:42,357.49,4.761904762,17.8745,7.0
448,2019-01-12,B,Mandalay,Existing,Female,Health and beauty,27.07,1,1.3535,28.4235,Credit card,Free,296-11-7041,1/12/2019,20:07,27.07,4.761904762,1.3535,5.3
800,2019-01-12,B,Mandalay,New,Male,Sports and travel,23.01,6,6.903,144.963,Ewallet,Free,751-15-6198,1/12/2019,16:45,138.06,4.761904762,6.903,7.9
77,2019-01-12,A,Yangon,Existing,Female,Fashion accessories,20.01,9,9.0045,189.0945,Credit card,Free,381-20-0914,1/12/2019,15:48,180.09,4.761904762,9.0045,5.7
105,2019-01-12,A,Yangon,Existing,Male,Electronic accessories,88.67,10,44.335,931.035,Ewallet,Free,704-48-3927,1/12/2019,14:50,886.7,4.761904762,44.335,7.3
623,2019-01-12,B,Mandalay,New,Female,Fashion accessories,83.25,10,41.625,874.125,Credit card,Free,852-62-7105,1/12/2019,11:25,832.5,4.761904762,41.625,4.4
699,2019-01-12,C,Naypyitaw,New,Male,Home and lifestyle,97.5,10,48.75,1023.75,Ewallet,Free,751-41-9720,1/12/2019,16:18,975.0,4.761904762,48.75,8.0
738,2019-01-12,B,Mandalay,Existing,Male,Electronic accessories,91.56,8,36.624,769.104,Ewallet,Free,197-77-7132,1/12/2019,18:22,732.48,4.761904762,36.624,6.0
927,2019-01-13,A,Yangon,Existing,Female,Health and beauty,39.62,9,17.829,374.409,Credit card,Free,397-25-8725,1/13/2019,17:54,356.58,4.761904762,17.829,6.8
885,2019-01-13,A,Yangon,New,Male,Sports and travel,45.58,7,15.953,335.013,Cash,Customer Paid,460-93-5834,1/13/2019,10:03,319.06,4.761904762,15.953,5.0
616,2019-01-13,B,Mandalay,Existing,Male,Sports and travel,72.6,6,21.78,457.38,Cash,Customer Paid,327-40-9673,1/13/2019,19:51,435.6,4.761904762,21.78,6.9
967,2019-01-13,A,Yangon,Existing,Male,Home and lifestyle,81.01,3,12.1515,255.1815,Credit card,Free,195-06-0432,1/13/2019,12:55,243.03,4.761904762,12.1515,9.3
75,2019-01-13,C,Naypyitaw,New,Female,Electronic accessories,41.65,10,20.825,437.325,Credit card,Free,732-94-0499,1/13/2019,17:04,416.5,4.761904762,20.825,5.4
527,2019-01-13,B,Mandalay,Existing,Male,Fashion accessories,59.86,2,5.986,125.706,Ewallet,Free,339-38-9982,1/13/2019,14:55,119.72,4.761904762,5.986,6.7
953,2019-01-13,C,Naypyitaw,Existing,Female,Food and beverages,21.04,4,4.208,88.368,Cash,Customer Paid,784-08-0310,1/13/2019,13:58,84.16,4.761904762,4.208,7.6
573,2019-01-13,B,Mandalay,New,Male,Food and beverages,72.39,2,7.239,152.019,Credit card,Free,355-34-6244,1/13/2019,19:55,144.78,4.761904762,7.239,8.1
195,2019-01-13,C,Naypyitaw,Existing,Female,Fashion accessories,74.29,1,3.7145,78.0045,Cash,Customer Paid,556-86-3144,1/13/2019,19:30,74.29,4.761904762,3.7145,5.0
432,2019-01-13,A,Yangon,New,Female,Electronic accessories,23.46,6,7.038,147.798,Ewallet,Free,459-50-7686,1/13/2019,19:14,140.76,4.761904762,7.038,6.4
741,2019-01-14,C,Naypyitaw,New,Male,Food and beverages,84.83,1,4.2415,89.0715,Ewallet,Free,451-73-2711,1/14/2019,15:20,84.83,4.761904762,4.2415,8.8
670,2019-01-14,A,Yangon,Existing,Male,Fashion accessories,56.04,10,28.02,588.42,Ewallet,Free,588-47-8641,1/14/2019,19:30,560.4,4.761904762,28.02,4.4
202,2019-01-14,C,Naypyitaw,New,Male,Electronic accessories,61.41,7,21.4935,451.3635,Cash,Customer Paid,426-39-2418,1/14/2019,10:02,429.87,4.761904762,21.4935,9.8
681,2019-01-14,B,Mandalay,New,Female,Sports and travel,34.81,1,1.7405,36.5505,Credit card,Free,320-85-2052,1/14/2019,10:11,34.81,4.761904762,1.7405,7.0
382,2019-01-14,B,Mandalay,New,Female,Food and beverages,99.69,5,24.9225,523.3725,Cash,Customer Paid,868-52-7573,1/14/2019,12:09,498.45,4.761904762,24.9225,9.9
249,2019-01-14,B,Mandalay,New,Male,Food and beverages,73.06,7,25.571,536.991,Credit card,Free,785-13-7708,1/14/2019,19:06,511.42,4.761904762,25.571,4.2
808,2019-01-14,B,Mandalay,New,Female,Health and beauty,17.75,1,0.8875,18.6375,Cash,Customer Paid,559-61-5987,1/14/2019,10:38,17.75,4.761904762,0.8875,8.6
577,2019-01-14,C,Naypyitaw,New,Male,Food and beverages,31.77,4,6.354,133.434,Ewallet,Free,592-34-6155,1/14/2019,14:43,127.08,4.761904762,6.354,6.2
375,2019-01-14,A,Yangon,Existing,Female,Fashion accessories,96.7,5,24.175,507.675,Ewallet,Free,667-23-5919,1/14/2019,12:52,483.5,4.761904762,24.175,7.0
788,2019-01-14,C,Naypyitaw,Existing,Male,Health and beauty,60.47,3,9.0705,190.4805,Credit card,Free,704-10-4056,1/14/2019,10:55,181.41,4.761904762,9.0705,5.6
583,2019-01-14,B,Mandalay,Existing,Female,Fashion accessories,18.08,4,3.616,75.936,Credit card,Free,359-90-3665,1/14/2019,18:03,72.32,4.761904762,3.616,9.5
900,2019-01-14,C,Naypyitaw,Existing,Female,Electronic accessories,44.84,9,20.178,423.738,Credit card,Free,377-79-7592,1/14/2019,14:00,403.56,4.761904762,20.178,7.5
852,2019-01-14,C,Naypyitaw,New,Male,Health and beauty,53.19,7,18.6165,390.9465,Ewallet,Free,658-66-3967,1/14/2019,15:42,372.33,4.761904762,18.6165,5.0
749,2019-01-15,C,Naypyitaw,Existing,Male,Health and beauty,81.23,7,28.4305,597.0405,Cash,Customer Paid,314-23-4520,1/15/2019,20:44,568.61,4.761904762,28.4305,9.0
792,2019-01-15,B,Mandalay,New,Female,Home and lifestyle,97.37,10,48.685,1022.385,Credit card,Free,744-16-7898,1/15/2019,13:48,973.7,4.761904762,48.685,4.9
444,2019-01-15,A,Yangon,New,Female,Sports and travel,19.1,7,6.685,140.385,Cash,Customer Paid,301-11-9629,1/15/2019,10:43,133.7,4.761904762,6.685,9.7
191,2019-01-15,B,Mandalay,New,Female,Fashion accessories,73.52,2,7.352,154.392,Ewallet,Free,437-58-8131,1/15/2019,13:41,147.04,4.761904762,7.352,4.6
650,2019-01-15,B,Mandalay,New,Male,Electronic accessories,75.66,5,18.915,397.215,Ewallet,Free,369-82-2676,1/15/2019,18:22,378.3,4.761904762,18.915,7.8
15,2019-01-15,B,Mandalay,Existing,Female,Sports and travel,93.72,6,28.116,590.436,Cash,Customer Paid,299-46-1805,1/15/2019,16:19,562.32,4.761904762,28.116,4.5
37,2019-01-15,A,Yangon,New,Female,Electronic accessories,60.88,9,27.396,575.316,Ewallet,Free,272-65-1806,1/15/2019,17:17,547.92,4.761904762,27.396,4.7
442,2019-01-15,A,Yangon,Existing,Female,Home and lifestyle,89.21,9,40.1445,843.0345,Credit card,Free,138-17-5109,1/15/2019,15:42,802.89,4.761904762,40.1445,6.5
635,2019-01-15,B,Mandalay,Existing,Male,Health and beauty,66.47,10,33.235,697.935,Credit card,Free,188-55-0967,1/15/2019,15:01,664.7,4.761904762,33.235,5.0
769,2019-01-15,A,Yangon,New,Female,Home and lifestyle,11.43,6,3.429,72.009,Cash,Customer Paid,886-54-6089,1/15/2019,17:24,68.58,4.761904762,3.429,7.7
